lon,lat,MunicipalityID,Department Name,Municipality Name,Rural Population,Urban Population,Total Population
-73.26929475,9.930926218,12497,Cesar,Agustin Codazzi,15404,38565,53969
-74.92768694,10.02690191,11681,Bolivar,El Guamo,3705,4121,7826
-75.50447484,9.805267332,11793,Sucre,San Onofre,28251,18132,46383
-75.07425826,9.949767812,11940,Bolivar,San Juan Nepomuceno,8787,23727,32514
-75.34693139,9.963428887,11703,Bolivar,Maria La Baja,27544,17851,45395
-73.8885667,9.929216195,12117,Cesar,Bosconia,2990,27895,30885
-74.73451105,9.914399268,12353,Magdalena,Tenerife,6936,5614,12550
-74.60274052,9.764552666,12492,Magdalena,Plato,13435,35760,49195
-74.09745802,9.825701692,12023,Magdalena,Ariguani,12734,18313,31047
-73.24521489,9.732536753,12369,Cesar,Becerril,4221,9720,13941
-75.11719167,9.819493023,11655,Bolivar,San Jacinto,2276,19317,21593
-75.16108225,9.696131108,12632,Bolivar,El Carmen De Bolivar,18529,49423,67952
-73.71509774,9.658758808,12657,Cesar,El Paso,16992,3816,20808
-74.90192614,9.74129234,12409,Bolivar,Zambrano,1286,9824,11110
-74.32030881,9.530134468,12455,Magdalena,Santa Ana,11779,11456,23235
-74.22497948,9.469392146,11823,Magdalena,Pijino Del Carmen,7891,6224,14115
-75.18510223,9.556176348,11980,Sucre,Ovejas,10461,11197,21658
-73.33665041,9.539099657,12008,Cesar,La Jagua De Ibirico,5232,16850,22082
-75.3225761,9.575448183,12041,Sucre,Chalan,1651,2537,4188
-74.8932695,9.537874821,12631,Bolivar,Cordoba,9669,3444,13113
-75.44213635,9.489281558,12001,Sucre,Tolu Viejo,13630,5325,18955
-75.36232707,9.511758313,11702,Sucre,Coloso,3149,3065,6214
-73.54415005,9.410130383,11913,Cesar,Chiriguana,8684,13462,22146
-73.97883443,9.489855671,11597,Cesar,Astrea,9530,8864,18394
-75.0273093,9.409179971,12343,Sucre,San Pedro,5408,11007,16415
-73.77037043,9.219281516,11949,Cesar,Chimichagua,19618,11375,30993
-75.20653652,9.424900326,11878,Sucre,Los Palmitos,10444,8871,19315
-75.32073383,9.384594365,12377,Sucre,Morroa,7350,5496,12846
-74.21522909,9.332417299,12553,Magdalena,San Sebastian De Buenavista,12099,5168,17267
-74.36292019,9.308403343,11725,Magdalena,San Zenon,7277,1627,8904
-74.73898571,9.14542823,11801,Bolivar,Magangue,41870,79645,121515
-74.95587475,9.316463014,11599,Sucre,Buenavista,1706,7256,8962
-75.76797279,9.351262958,11731,Cordoba,San Antero,11717,14406,26123
-75.95525809,9.325798536,12564,Cordoba,San Bernardo Del Viento,23228,8177,31405
-75.42897861,9.310248032,12288,Sucre,Sincelejo,17979,219639,237618
-74.65587178,9.32011432,12541,Bolivar,Talaigua Nuevo,6219,4867,11086
-75.06732492,9.24582924,11591,Sucre,San Luis De Since,8504,22144,30648
-75.57506477,9.327891135,12012,Sucre,Palmito,6921,4440,11361
-75.19410217,9.284864581,12513,Sucre,San Juan De Betulia,6095,6283,12378
-73.49586275,9.214602127,11662,Cesar,Curumani,9311,18249,27560
-74.15875731,9.222341314,12005,Magdalena,Guamal,18292,7216,25508
-75.25247965,9.203820507,12011,Sucre,Corozal,12354,45402,57756
-74.00047651,9.10623179,11732,Magdalena,El Banco,21475,33380,54855
-76.11287993,9.20452424,12501,Cordoba,Monitos,18258,5339,23597
-75.90612985,9.156641397,12345,Cordoba,Lorica,65899,44417,110316
-75.71182152,9.249537122,12491,Cordoba,Purisima,8532,6145,14677
-75.63565755,9.234721767,12623,Cordoba,Momil,5380,8712,14092
-74.58681117,9.125163294,12512,Bolivar,Mompos,18974,22591,41565
-74.6909509,9.232260491,12386,Bolivar,Cicuco,4275,6819,11094
-73.35325648,8.847668484,12480,Norte de Santander,El Carmen,13743,2634,16377
-75.51625413,9.138774053,12465,Cordoba,San Andres Sotavento,54592,8555,63147
-73.24385676,8.793772687,11971,Norte de Santander,Convencion,10529,6076,16605
-74.41177328,9.077031786,11983,Bolivar,San Fernando,10225,2740,12965
-75.3569911,9.156298036,12098,Sucre,Sampues,18172,18309,36481
-75.63809664,9.095372067,12145,Cordoba,Chima,10824,2815,13639
-74.28134767,9.063237965,12565,Bolivar,Margarita,7761,1645,9406
-74.97770076,9.133198837,12006,Sucre,Galeras,6854,10443,17297
-75.77752688,9.055480772,12095,Cordoba,Cotorra,11719,3394,15113
-75.36127402,9.008150436,12192,Cordoba,Chinu,22388,20886,43274
-73.16951807,8.747706773,11742,Norte de Santander,Teorama,15361,2162,17523
-76.17881286,8.995523839,12219,Cordoba,Puerto Escondido,18252,3534,21786
-72.83301236,8.676633138,12342,Norte de Santander,Tibu,22848,11925,34773
-74.97230461,8.835542053,11879,Sucre,San Benito Abad,17426,5546,22972
-75.91078608,8.975106023,12432,Cordoba,San Pelayo,32358,6902,39260
-73.78105953,8.864240897,12093,Cesar,Tamalameque,8869,5177,14046
-74.38109017,8.823709739,11686,Bolivar,Pinillos,20393,2408,22801
-73.59293824,8.925496386,12543,Cesar,Pailitas,4233,11669,15902
-74.75516668,8.812922754,12520,Sucre,Sucre,15579,6884,22463
-75.60555904,8.830220764,11609,Cordoba,Cienaga De Oro,32307,20838,53145
-74.12453068,8.966071644,12547,Bolivar,Hatillo De Loba,8734,2736,11470
-75.4328298,8.785256331,12502,Cordoba,Sahagun,42650,44985,87635
-73.94837019,8.81705647,12321,Bolivar,El Penon,5095,2712,7807
-74.04507747,8.805362422,12612,Bolivar,San Martin De Loba,8367,5881,14248
-76.30078782,8.87755506,12528,Cordoba,Los Cordobas,14531,3306,17837
-75.82181985,8.882079088,12272,Cordoba,Cerete,36823,47094,83917
-74.16284648,8.818492433,12570,Bolivar,Barranco De Loba,10235,4913,15148
-75.95781042,8.584313783,12265,Cordoba,Monteria,92395,286575,378970
-75.10930905,8.774293247,12679,Sucre,Caimito,8110,2938,11048
-76.42507609,8.645919494,11620,Antioquia,Arboletes,18525,12213,30738
-73.61087245,8.770666537,11854,Cesar,Pelaya,5866,10695,16561
-75.29583566,8.796272681,12666,Sucre,La Union,5234,5112,10346
-75.69168482,8.696793917,12615,Cordoba,San Carlos,19098,4524,23622
-76.25876337,8.748727334,11658,Cordoba,Canalete,13905,3410,17315
-73.05311119,8.654450077,11713,Norte de Santander,El Tarra,6978,3794,10772
-74.23005065,8.738882048,12115,Bolivar,Altos Del Rosario,5984,5373,11357
-73.8638114,8.703524036,11747,Bolivar,Regidor,5831,2965,8796
-76.51130612,8.683038935,12152,Antioquia,San Juan De Uraba,14171,6728,20899
-74.50647611,8.585479546,11654,Bolivar,Achi,16320,3324,19644
-73.6502772,8.597351532,11710,Cesar,La Gloria,8807,5779,14586
-74.72213932,8.542126875,12529,Sucre,Majagual,22175,9482,31657
-75.16779222,8.576287595,12590,Sucre,San Marcos,21175,29504,50679
-76.68190333,8.534542753,11812,Antioquia,Necocli,36740,11249,47989
-74.07616922,8.425536349,12140,Bolivar,Rio Viejo,14805,6255,21060
-77.30205342,8.406570601,12331,Choco,Acandi,5348,5107,10455
